Site,Platform,ElementType,Label,Description,ByType,By
All,all,Label,cvip_lblMagnifier,the magnifier to indicate the zoom funtion in cvip,xpath,"//i[@class='icon icon-magnifier']"
All,all,TextField,cvip_txfAllImagesCount,the texts of All Images,xpath,"//div[@class='magnifier']//span[@class='count']"
All,All,Label,cvip_imgAdMainImage,the current main image on cVIP,xpath,"//div[contains(@class,'gallery-img')]"
All,landscape,Button,cvip_btnCloseZoomview,close button to close zoom view on cvip,xpath,"//div[@id='vipOverlay']//span[contains(@class,'icon-close-updated')]"
All,portrait,Button,cvip_btnCloseZoomview,close button to close zoom view on cvip,xpath,"//div[contains(@class,'zoom-toolbar')]//span[contains(@class,'icon-close-updated')]"
All,All,TextField,cvip_txtStartPrice,the text of start at price,xpath,"//span[@class='start']"
All,All,TextField,cvip_txtAdGroupPrice,the text of minimal price,xpath,"//div[@class='price']//span[@class='ad-price']"
All,All,TextField,cvip_txtDescTitle,the text of description,xpath,"//div[@class='revip-description']/div[@class='section-title']"
All,All,Label,cvip_imagAdGroupLogo,the logo of ad group,xpath,"//div[@class='seller-pic']/img"
All,All,TextField,cvip_txtListBy,the text of list by,xpath,"//div[@class='description-info']//div[@class='listedBy']"
All,All,TextField,cvip_txtGroupName,the text of group name,xpath,"//div[@id='title-section']/div[@class='title-text']"
All,All,TextField,cvip_txtGroupNameValue,the text of group name value,xpath,"//div[@id='title-section']/h2[@class='item-title']"
All,All,TextField,cvip_txtAgency,the text of Agency name,xpath,"//div[@class='profile']//div[@class='profile-username']"
All,All,TextField,cvip_txtDescContent,the content of description,xpath,"//div[@class='revip-description']//div[@class='description-content']"
All,landscape,Link,cvip_lnkTabs,the ad units,xpath,"//div[@class='sticky-nav-bar']"
All,landscape,Link,cvip_lnkTabDetalles,the ad units,xpath,"//span[contains(@class,'nav-link') and contains(text(),'Detalles generales')]"
All,landscape,Link,cvip_lnkTabUnidades,the ad units,xpath,"//span[contains(@class,'nav-link') and contains(text(),'Unidades')]"
All,landscape,Link,cvip_lnkTabDescription,the ad units,xpath,"//span[contains(@class,'nav-link') and contains(text(),'Descripción')]"
All,landscape,Link,cvip_lnkTabLocation,the ad units,xpath,"//span[contains(@class,'nav-link') and contains(text(),'Ubicación')]"
All,All,Label,cvip_pnlGoogleMap,the google map,xpath,"//div[@id='view-map']"
All,All,TextField,cvip_txtLocationTitle,the text of location,xpath,"//div[@class='location-name']"
All,All,TextField,cvip_txtAdGroupAddress,the text of ad group addredd,xpath,"//div[@class='google-maps']//div[@class='adgroup-map-address']"
All,All,Label,cvip_lblGetDirectionIcon,the icon to get direction,xpath,"//div[@class='map-toolkit']//div[@class='directions']/i"
All,All,Link,cvip_lnkGetDirection,the link to get direction,xpath,"//div[@class='map-toolkit']//div[@class='directions']"
All,All,Link,cvip_txtAmenitiesTitle,Amenities Title,xpath,"//div[@class='nd-amenities']//div[@class='section-title']"
All,All,Link,cvip_lnkAmenitiesViewMore,Amenities view more,xpath,"//div[@class='nd-amenities']//span[contains(@class, 'view-more')]"
All,All,Link,cvip_txtAmenitiesContainer,AmenitiesContainer ,xpath,"//div[@class='nd-amenities']"
All,All,Link,cvip_lnkUnits,the ad units,xpath,"//div[@class='nd-units-wrapper']"
All,All,Link,cvip_lnkUnitsRedesign,the ad units,xpath,"//div[@class='nd-units-wrapper']"
All,All,Label,cvip_lblUnitsTitleRedesign,the ad units title,xpath,"//div[@class='units-dispo']"
All,All,Label,cvip_lblUnitsTitle,the ad units title,xpath,"//div[@class='units-dispo']"
All,All,Label,cvip_lblUnitsDetalles,the ad units detalles label,xpath,"//div[@class='unit-info']/span[@class='unit-details ']"
All,All,Label,cvip_lblUnitsBedroomsLabel,the ad units bedroom label,xpath,"//div[@class='unit-info']/span[@class='unit-details bedrooms']"
All,All,Label,cvip_lblUnitsBathsLabel,the ad units bath label,xpath,"//div[@class='unit-info']/span[@class='unit-details baths']"
All,All,Label,cvip_lblUnitsCarGaragesLabel,the ad units garage label,xpath,"//div[@class='unit-info']/span[@class='unit-details cars']"
All,All,Label,cvip_lblUnitsAreaLabel,the ad units metros label,xpath,"//div[@class='unit-info']/span[@class='unit-details area']"
All,All,TextField,cvip_txtUnitsFirstAdTitle,the ad units first ad title,xpath,"(//div[@class='units']//div[@class='unit-title'])[1]"
All,All,Label,cvip_lblUnitsAdImage,the ad units first ad Image,xpath,"(//a[@class='unit-item']//div[@class='item-image lazy'])[1]"
All,All,TextField,cvip_txtUnitsFirstAdPrice,the ad units first ad price,xpath,"(//div[@class='units']//div[@class='unit-price']//span[@class='ad-price'])[1]"
All,All,Label,cvip_lblUnitsBedroomsIcon,the ad units bedroom icon,xpath,"//div[@class='units']//span[@class='wrapper-icon bedrooms']/span[@class='blockElt icon-bedroomsx2']"
All,All,TextField,cvip_txtUnitsBedroomsValue,the ad units bedroom value,xpath,"//div[@class='units']//span[@class='wrapper-icon bedrooms']/span[@class='attributes-value']"
All,All,Label,cvip_lblUnitsBathsIcon,the ad units bath icon,xpath,"//div[@class='units']//span[@class='wrapper-icon baths']/span[@class='blockElt icon-bathsx2']"
All,All,TextField,cvip_txtUnitsBathsValue,the ad units bath value,xpath,"//div[@class='units']//span[@class='wrapper-icon baths']/span[@class='attributes-value']"
All,All,Label,cvip_lblUnitsGarageIcon,the ad units garage icon,xpath,"//div[@class='units']//span[@class='wrapper-icon cars']/span[@class='blockElt icon-carsx2']"
All,All,TextField,cvip_txtUnitsGarageValue,the ad units garage value,xpath,"//div[@class='units']//span[@class='wrapper-icon cars']/span[@class='attributes-value']"
All,All,Label,cvip_lblUnitsAreaIcon,the ad units area icon,xpath,"//div[@class='units']//span[@class='wrapper-icon area']/span[@class='blockElt icon-areax2']"
All,All,TextField,cvip_txtUnitsAreaValue,the ad units area value,xpath,"//div[@class='units']//span[@class='wrapper-icon area']/span[@class='attributes-value']"
All,All,Label,cvip_lblStickyReply,the sticky reply form,xpath,"//div[@class='sticky-container']/div[@class='sticky-content sticky']"
All,All,Label,cvip_lblReplyTitle,the sticky reply form title,xpath,"//div[@class='reply-form-content']//div[@class='reply-title']"
All,All,TextField,cvip_txtReplyDisplayPhone,the display phone on reply form,xpath,"//div[@class='reply-form-content']//div[@class='seller-phone']/div/span[@class='display-phone']"
All,All,TextField,cvip_txtReplyRealPhone,the real phone on reply form,xpath,"//div[@class='reply-form-content']//div[@class='seller-phone']/div/span[@class='real-phone']"
All,All,TextField,cvip_txtReplyMessages,the reply messages,xpath,"//div[@class='reply-form-content']//div[@class='reply-input']//textarea[@name='replyMessage']"
