Site,Platform,ElementType,Label,Description,ByType,By
All,landscape,TextField,editPage_txfAdPrice,the textfield of ad price,xpath,"//input[@class='price-input']/../input[2]"
All,portrait,TextField,editPage_txfAdPrice,the textfield of ad price on mobile,xpath,"//input[contains(@class,'ws-number ws-inputreplace price-input')]"
All,landscape,Button,editPage_btnEditSubmit,the edit submit button,xpath,"//button[@type='submit' and contains(@class,'edit-submit-button edit-ad-submit')]"
All,portrait,Button,editPage_btnEditSubmit,the edit submit button,xpath,"//a[@class='edit-submit-button btn']/span"
All,All,Button,editPage_btnEditSubmit3.0,the edit submit button,xpath,"//div[@class='post-button-wrapper']"
za,All,Button,editPage_btnEditSubmit1.0,the edit submit button on za 1.0 edit page,xpath,"//button[@id='postSubmit']"
All,landscape,Button,editPage_btnEditSubmitDisable,the edit submit button disable,xpath,"//button[@class='edit-submit-button edit-ad-submit disabled']"
All,portrait,Button,editPage_btnEditSubmitDisable,the edit submit button disable,xpath,"//a[@class='edit-submit-button btn disabled']"
All,All,Link,editPage_lnkFirstCategoryItem,the link of first category item,xpath,"//div[@class='results']/ul/li[1]"
All,All,Button,editPage_btnSaveCategory,the button of save category,xpath,"//button[@class='save-button']"
All,All,TextField,editPage_txfAdDescription,the textfield of ad description,xpath,"//textarea[@id='description-input']"
All,All,Label,editAd_pnlAboutUs,the panel for about us on footer,xpath,//span[contains(text(),'Acerca de nosotros')]
All,landscape,Button,editAd_btnUploadImage,the button to upload image,xpath,"//div[@class='no-photo cover-photo-small']"
All,portrait,Button,editAd_btnUploadImage,the button to upload image,xpath,"//div[@class='photo-container-mobile']//div[contains(@class,'no-photo')]//div[@class='photo-wrapper']//a"
All,landscape,Button,editAd_btnDeleteImage,the delete image button on edit page,xpath,"//div[@class='cover-photo-small']//div[@class='icon-photo-close']"
All,landscape,Button,editAd_btnDeleteImage3.0,the delete image button on edit page,xpath,"//div[contains(@style,'ebayimg.com')]//div[@class='icon-delete-image-desktop']"
All,portrait,Button,editAd_btnDeleteImage,the delete image button on edit page,xpath,"//div[@class='photo-container-mobile']//div[contains(@class,'cover-photo-big') and not(contains(@class,'no-photo'))]//div[@class='icon-photo-close']"
All,portrait,Button,editAd_btnDeleteImage3.0,the delete image button on edit page,xpath,"//div[contains(@style,'ebayimg.com')]//div[@class='icon-delete-image-mobile']"
All,All,Label,editAd_pnlHeader,the header part in editpage,xpath,//div[@class='headerV2']
All,All,Label,editAd_pnlFooter,the footer part in editpage,xpath,"//div[@class='footer-wrapper']"
All,All,Label,editAd_pnlInputForm,the detail input part in editpage,xpath,"//div[@class='main-detail-edit']"
All,All,TextField,editAd_txfPhotoRequired,the phone requirment element,xpath,"//div[@class='photos-required-msg']"
All,All,Link,editAd_lnkMap,the clickable map of location,xpath,"//div[@class='map-wrapper']"
All,All,TextField,editAd_txfLocation,the location textfield on edit page,xpath,"//input[@id='autocompleteTextBox']"
All,All,TextField,editAd_txfLocationInput,the label of Location on the change location pop up window,xpath,"//input[contains(@class,'textbox user-success')]"
All,All,Button,editAd_btnConfirmOnAutoComp,the button of confirm on auto complete,xpath,"//div[@class='login-button confirm-button  btn-wrapper']"
All,All,Button,editAd_btnConfirmChangeCate,the button of confirm on change category,xpath,"//div[@class='change-category-confirm-wrapper']//span[@class='sudolink']"
