Site,Platform,ElementType,Label,Description,ByType,By
za,All,Label,header_pnlLiquidHeader,the container of header,xpath,"//div[@data-is-header-liquid='true']"
za,All,Label,header_pnlLiquidLogo,the container of Gumtree Logo,xpath,"//div[@data-is-header-liquid='true']/header/div[@class='logo']"
za,All,Label,header_pnlLiquidSearchBar,the container of search bar,xpath,"//div[@data-is-header-liquid='true']/header/div[contains(@class, 'searchbarLiquid')]"
za,All,Label,header_pnlLiquidMyAcct,the container of nav profile,xpath,"//div[@data-is-header-liquid='true']/header/div[contains(@class,'nav liquid')]/nav"
za,All,Label,header_pnlLiquidPost,the container of post button,xpath,"//div[@data-is-header-liquid='true']/header/div[@class='post liquid']"
za,All,Link,header_lnkLiquidLogo,the logo link of Gumtree,xpath,"//div[@data-is-header-liquid='true']/header/div[@class='logo']/a"
za,All,Link,header_lnkLiquidPostAd,the post button,xpath,"//div[@data-is-header-liquid='true']/header/div[@class='post liquid']/a[contains(@class,'post-btn')]"
za,All,Button,header_btnLiquidSearchAd,the search button in search bar,xpath,"//div[@data-is-header-liquid='true']/header/div[contains(@class, 'searchbarLiquid')]/section/form/fieldset/div[@class='fields']/div[@class='button']/button"
za,All,Label,header_lblLiquidCategoryFilterBox,the filter drop down box of Category,xpath,"//div[contains(@class, 'searchbarLiquid')]//form/fieldset/div[@class='fields']/div[@class='category']"
za,All,TextField,header_txfLiquidCategory,the filter field of Category,xpath,"//div[contains(@class, 'searchbarLiquid')]//form/fieldset/div[@class='fields']/div[@class='category']/div[@class='touch-box']/input[@type='text']"
za,All,Label,header_lblLiquidAllCategoryIcon,the icon of All Category,xpath,"//div[contains(@class, 'searchbarLiquid')]//form/fieldset/div[@class='fields']/div[@class='category']/div[@class='touch-box']/span[@class='main-icon']/span[contains(@class, 'icon-header-categories-hollow')]"
za,All,Label,header_lblLiquidCarCategoryIcon,the icon of Car & Bakkies Category,xpath,"//div[contains(@class, 'searchbarLiquid')]//form/fieldset/div[@class='fields']/div[@class='category']/div[@class='touch-box']/span[@class='main-icon']/span[contains(@class, 'icon-cat-5-2')]"
