Site,Platform,ElementType,Label,Description,ByType,By
mx_vns,All,Button,header_btnHeaderPostAd,the post ad button on new header,xpath,"//a[@class='item-post item-wrapper']/span"
mx_vns,All,Label,header_lblHeaderDivide,the divide on new header,xpath,"//div[@class='profile-left']/div[@class='item-divide']"
mx_vns,All,Button,header_btnHeaderLogin,the login button on new header,xpath,"//span[@class='item-enter item-text item-wrapper']"
mx_vns,All,Link,header_lnkHeaderMyAccount,the my account link on new header,xpath,"//div[@class='item-signed item-wrapper']"
mx_vns,All,Link,header_lnkHeaderMyAccountDropDownMenu,the my account dropdown menu on new header,xpath,"//ul[@class='profile-dropdown-v2']"
mx_vns,All,TextField,headerV3_txfMyAlertTip,the tip message for my alert on header,xpath,"//span[@class='icon-saved-searches-blue search-blue']//div[@class='tips']"
mx_vns,All,TextField,headerV3_txfMyMessageTip,the tip message for my message on header,xpath,"//span[@class='icon-messages-small-blue message-blue']//div[@class='tips']"
mx_vns,All,TextField,headerV3_txfMessageNumberHeader,the message number on header,xpath,"//div[@class='item-wrapper url-redirect item-message']//div[@class='number-messages']"
mx_vns,All,TextField,headerV3_txfMessageNumberDropdown,the message number on my account drop down,xpath,"//div[@id='js-profile-dropdown']//div[@class='number-messages']"
mx_vns,All,Label,header_lblHeaderSaveSearchIconBlue,the save search icon on new header,xpath,"//span[@class='icon-saved-searches-blue search-blue']"
mx_vns,All,Label,header_lblHeaderMyMsgIconBlue,the my message icon on new header,xpath,"//span[@class='icon-messages-small-blue message-blue']"
mx_vns,All,Label,header_lblHeaderSaveSearchIconDark,the save search icon on new header,xpath,"//span[@class='icon-saved-searches-dark search-dark']"
mx_vns,All,Label,header_lblHeaderMyMsgIconDark,the my message icon on new header,xpath,"//span[@class='icon-messages-small-dark message-dark']"
mx_vns,All,Link,header_lnkHeaderMyAdsInDropdownlist,the my ads in drop down list on new header,xpath,"//div[@id='js-profile-dropdown']/ul//*[contains(text(),'Mis anuncios')]"
