Site,Platform,ElementType,Label,Description,ByType,By
All,All,Label,hp_pnlHeader,the header part in homepage,xpath,//div[@class='headerV2']
All,All,Label,hp_lnkLogo,the logo in homepage,xpath,"//*[@class='logo']"
All,All,Label,hp_lnkLogo3.0,the logo in homepage,xpath,"//*[@class='logo icon-logo-retina']"
All,landscape,Label,hp_lnkLogoTag,the logo in homepage,xpath,"//*[@class='logo icon-logo-retina']/.."
All,landscape,Button,hp_btnQuickPost,Button to quick post an ad on header of desktop,xpath,"//div[contains(@class,'post-ad-button')]"
All,portrait,Button,hp_btnQuickPost,Button to quick post an ad on header of mobile,xpath,"//div[@class='menu-container']/div[1]"
All,landscape,SelectList,hp_ddExplore,drop down list for L1 category,xpath,"//div[@id='js-browse-dropdown']"
All,landscape,SelectList,hp_ddMyAccount,dropdown button of profile on header of desktop,xpath,//div[@class='profile']
All,All,Label,hp_pnlFooter,the footer part in homepage,xpath,"//div[@class='footer-wrapper']"
All,All,Label,hp_pnlAboutUs,the block of about Us on footer for five lines,xpath,//div[@class='footer-aboutus']/div[1]
All,All,Label,hp_pnlLegal,the block of legal information on footer for four lines,xpath,//div[@class='footer-legal']/div[1]
All,All,Label,hp_pnlExplore,the block of explore on footer for five lines,xpath,//div[@class='footer-explore']/div[1]
All,All,Label,hp_pnlTips,the block of tips on footer for four lines,xpath,//div[@class='footer-tips']/div[1]
mx_vns,All,Link,hp_lnkAboutUs,link to About Us,xpath,"//span[contains(text(),'Acerca de nosotros')]"
mx_vns,All,Link,hp_lnkAboutSite,link to About Vivanuncios,xpath,"//span[contains(text(),'Acerca de Vivanuncios')]"
mx_vns,All,Link,hp_lnkBlog,link to Blog,xpath,"//a[contains(text(),'Blog de Vivanuncios')]"
mx_vns,All,Link,hp_lnkLegal,link to Vivanuncios footer legal,xpath,"//span[contains(text(),'Vivanuncios para negocios')]"
mx_vns,All,Link,hp_lnkRules,link to Listing Rules,xpath,"//span[contains(text(),'Reglas para publicar anuncios')]"
All,All,Link,hp_lnkLegalInformation,link to Legal information,xpath,"//span[contains(text(),'Información legal')]"
mx_vns,All,Link,hp_lnkTermsOfUse,link to Terms of Use,xpath,"//span[contains(text(),'Condiciones de uso')]"
mx_vns,All,Link,hp_lnkPrivacyPolicy,link to Privacy Policy,xpath,"//span[contains(text(),'Política de privacidad')]"
