Site,Platform,ElementType,Label,Description,ByType,By
All,landscape,Link,hp_lnkAllCategories,link to all categories srp,xpath,"//a[@title='Todas las Categorías']"
All,landscape,Link,hp_lnkCars,link to cars srp,xpath,"//a[@title='Vehículos']/span"
All,landscape,Link,hp_lnkEstates,link to house srp,xpath,"//a[@title='Bienes Raíces']/span"
All,landscape,Link,hp_lnkJobs,link to jobs srp,xpath,"//a[@title='Empleos']/span"
All,landscape,Link,hp_lnkComputersElectronics,link to Computers & Electronics srp,xpath,"//a[@title='Computadoras y electrónica']/span"
All,landscape,Link,hp_lnkPhonesTablets,link to phones and tablets srp,xpath,"//a[@title='Celulares y Tablets']/span"
All,landscape,Link,hp_lnkHogar,link to hogar srp,xpath,"//a[@title='Hogar']/span"
All,landscape,Link,hp_lnkModa,link to moda srp,xpath,"//a[@title='Moda']/span"
All,landscape,Link,hp_lnlInfantsChildren,link to Infants Children Pregnant srp,xpath,"//a[@title='Bebés, Niños, Embarazada']/span"
All,landscape,Link,hp_lnkFreeTime,link to free time srp,xpath,"//a[@title='Tiempo libre']/span"
All,landscape,Link,hp_lnkPets,link to pets srp,xpath,"//a[@title='Mascotas']/span"
All,landscape,Link,hp_lnkAgricultureIndustry,link to Agriculture and Industry srp,xpath,"//a[@title='Agro e industria']/span"
All,landscape,Link,hp_lnkEvents,link to event and celebrations srp,xpath,"//a[@title='Eventos y fiestas']/span"
All,landscape,Link,hp_lnkCourses,link to courses srp,xpath,"//a[@title='Cursos']/span"
All,landscape,Link,hp_lnkServices,link to service srp,xpath,"//a[@title='Servicios']/span"
All,landscape,Link,hp_lnkFavorites,link to my watchlist,xpath,"//div[@class='profile right-item']//a[contains(@href,'/mywatchlist.html')]"
All,landscape,Link,hp_lnkMyMessage,link to my message,xpath,"//div[@class='profile right-item']//a[contains(@href,'message')]"
All,landscape,Link,hp_lnkMyAlert,link to my alert,xpath,"//div[@class='profile right-item']//a[contains(@href,'alert')]"
All,landscape,Link,hp_lnkMyProfile,link to my profile,xpath,"//div[@class='profile right-item']//a[contains(@href,'profile')]"
All,landscape,Link,hp_lnkPromoteMyAd,link to promote my ads,xpath,"//div[@class='profile right-item']//a[contains(@href,'promote')]"
All,landscape,Link,hp_lnkPriceGuide,link to price guide,xpath,"//div[@class='profile right-item']//a[contains(@href,'propiedades')]"
