Site,Platform,ElementType,Label,Description,ByType,By
"za,ie",All,RadioButton,payment_rbVISA,visa,xpath,//input[@value='visa']
"pl,sg,mx_vns",All,RadioButton,payment_rbVISA,visa,xpath,//label[@id='visa']
za,All,CheckBox,payment_chbPromote_SelectAll,Checkbox to select  all features,xpath,//div[@id='commercials']/div[1]//div[@class='promote']//input
All,All,TextField,payment_txfCardName,Card name,id,cardholderName
All,All,TextField,payment_txfCardNumber,Card number,id,cardNumber
All,All,TextField,payment_txfCVV,Card cvv,id,securityCode
All,All,SelectList,payment_selExpiredYear,select card unexpired year,xpath,"//select[@id='expiryYear']/option[@value='2020']"
All,All,SelectList,payment_selExpiredMonth,select card unexpired month,xpath,"//select[@id='expiryMonth']/option[@value='01']"
All,All,Button,payment_btnPayNowConfirm,payment page confirm the payment,id,submitButton
All,All,Button,payment_btnPayCancel,payment page cancel the payment,id,cancelButton
All,All,Button,payment_btnPayCancelConfirm,payment page cancel confirm the payment,id,exitPaymentYesJsOff
All,All,TextField,payment_txfTotalAmount,the total amount of selected feature,xpath,"//span[@class='total-price-amount price-amount']"
All,All,TextField,payment_txfTotalAmountOld,the total amount of selected feature,xpath,"//div[@id='total-line']//div[@class='price']"
za,All,RadioButton,payment_rbCredit,visa,xpath,//input[@value='creditcard']
All,All,TextField,payment_txfCreditNew,visa,xpath,"//div[@class='payment-section payment-hpp']//span[@class='payment-type-control-dscr']"
All,All,RadioButton,payment_rbCreditNew,visa,xpath,"//div[@class='payment-section payment-hpp']//div[@class='outer-circle']"
All,All,RadioButton,payment_rbOXXOPay,payment way for oxxo,xpath,"//div[@class='payment-section payment-oxxo']//span[@class='payment-type-control-dscr']"
All,All,Button,payment_btnSubmitOXXOPay,submit pay with oxxo,xpath,"//div[@class='oxxo-sumbit']//span"
All,All,TextField,payment_txfSRPGallery7,text of srpgallery 7 days feature in payment page,xpath,"//div[contains(text(),'Galería por Categorías - por 7 días') or contains(text(),'Category Gallery - 7 days')]"
All,All,TextField,payment_txfBumpup,text of bumpup feature in payment page,xpath,"//div[contains(text(),'Destacado') or contains(text(),'Bump Up')]"
All,All,TextField,payment_txfTopAd7,text of top ad 7 day feature in payment page,xpath,"//div[contains(text(),'Primeros Resultados') or contains(text(),'Top Ad - 7 days')]"
All,All,TextField,payment_txfHPGallery7,text of hpgallery 7 days feature in payment page,xpath,"//div[contains(text(),'Galería Principal - por 7 días') or contains(text(),'Homepage Gallery - 7 days')]"
All,All,TextField,payment_txfHighlight,text of highlight feature in payment page,xpath,"//div[contains(text(),'Urgente - por 7 días') or contains(text(),'Highlight - 7 days')]"
All,All,TextField,payment_txfUrgent,text of urgent feature in payment page,xpath,"//div[contains(text(),'Resalta tu Aviso - por 7 días') or contains(text(),'Urgent Ad - 7 days')]"
za,All,TextField,payment_txfUrl,text of wbesiteurl feature in payment page,xpath,"//div[@class='title' and contains(text(),'Website URL')]"
All,All,TextField,payment_txfBumpUp2dot0,text of bump up feature in payment 2dot0 page,xpath,"//div[@class='price-tab']/span[contains(text(),'Bump') or contains(text(),'bumpUpXY')]"
All,All,TextField,payment_txfHighlight2dot0,text of highlight feature in payment 2dot0 page,xpath,"//div[@class='price-tab']/span[contains(text(),'Resalta') or contains(text(),'Highlight')]"
All,All,TextField,payment_txfHPGallery72dot0,text of homepage gallery 7 days feature in payment 2dot0 page,xpath,"//div[@class='price-tab']/span[contains(text(),'Galería Principal') or contains(text(),'Homepage')]"
All,All,TextField,payment_txfSRPGallery72dot0,text of category gallery 7 days feature in payment 2dot0 page,xpath,"//div[@class='price-tab']/span[contains(text(),'Galería de') or contains(text(),'Category')]"
All,All,TextField,payment_txfTopAd72dot0,text of top ad 7 days feature in payment 2dot0 page,xpath,"//div[@class='price-tab']/span[contains(text(),'Destacado') or contains(text(),'Top')]"
All,All,TextField,payment_txfTopAd3.0,text of top ad 7 days feature in payment 3.0 page,xpath,"//span[contains(text(),'Destacado')]"
All,All,TextField,payment_txfBundleBuildTopAd3.0,text of top ad 7 days feature in payment 3.0 page,xpath,"//div[@class='feature-description']/span[contains(text(),'Destacado')]"
All,All,TextField,payment_txfUrgent2dot0,text of urgent feature in payment 2dot0 page,xpath,"//div[@class='price-tab']/span[contains(text(),'Urgente') or contains(text(),'Urgent')]"
