Site,Platform,ElementType,Label,Description,ByType,By
All,All,Label,postAd_pnlHeader,the header of post ad,xpath,"//div[@class='headerV2']"
All,All,Label,postAd_pnlContent,the post ad content,xpath,"//div[@id='wrapper']"
All,All,Label,postAd_lblPageTitle,the title of post ad page,xpath,"//div[@class='post-ad-page step-one']//div[@class='title-text']"
All,All,Label,postAd_lblPageTitle3.0,the title of post ad page,xpath,"//div[@class='title-text']"
All,All,Label,postAd_lblContentTitle3.0,the content title of post ad page,xpath,"//div[@class='content-title']"
All,All,Label,postAd_lblCategoryVisual3.0,the icon of  category visual on post ad page,xpath,"//div[@class='postad-tip-content' and contains(text(),'category')]"
All,All,Label,postAd_lblTitleVisual3.0,the icon of  title visual on post ad page,xpath,"//div[@class='postad-tip-content' and contains(text(),'palabras') or contains(text(),'keywords')]"
mx_vns,All,Label,postAd_lblDescriptionVisual3.0,the icon of Description visual on post ad page,xpath,"//div[@class='postad-tip-content' and contains(text(),'detallada')]"
za,All,Label,postAd_lblDescriptionVisual3.0,the icon of Description visual on post ad page,xpath,"//div[@class='postad-tip-content' and contains(text(),'description')]"
mx_vns,All,Label,postAd_lblPhotoVisual3.0,the icon of  photo visual on post ad page,xpath,"//div[@class='postad-tip-content' and contains(text(),'fotos')]"
za,All,Label,postAd_lblPhotoVisual3.0,the icon of  photo visual on post ad page,xpath,"//div[@class='postad-tip-content' and contains(text(),'pictures')]"
All,All,Label,postAd_lblPhotoLabel3.0,the photo label on post ad page,xpath,"//div[@class='photo-label']//div[@class='label']"
All,landscape,TextField,postAd_txfPhotoCoverNoPhoto3.0,the photo cover of no photo on past ad page,xpath,"//div[@class='cover-photo-desktop no-photo']"
All,portrait,TextField,postAd_txfPhotoCoverNoPhoto3.0,the photo cover of no photo on past ad page,xpath,"//div[@class='swiper-slide cover-photo-mobile no-photo swiper-slide-active']"
All,landscape,TextField,postAd_txfCoverNoPhoto12th3.0,the last photo cover of no photo on past ad page,xpath,"//div[@class='image-container']/div[12]"
All,portrait,TextField,postAd_txfCoverNoPhoto12th3.0,the last photo cover of no photo on past ad page,xpath,"//div[@class='photo-container-mobile']//div[@class='swiper-wrapper']/div[12]"
All,landscape,TextField,postAd_txfCoverNoPhoto1th3.0,the first photo cover of no photo on past ad page,xpath,"//div[@class='image-container']/div[1]"
All,portrait,TextField,postAd_txfCoverNoPhoto1th3.0,the first photo cover of no photo on past ad page,xpath,"//div[@class='photo-container-mobile']//div[@class='swiper-wrapper']/div[1]//div[@class='upload-button']"
All,landscape,TextField,postAd_txfDeletePhoto1th3.0,delete the first photo cover of no photo on past ad page,xpath,"//div[@class='image-container']/div[1]//div[@class='icon-delete-image-desktop']"
All,portrait,TextField,postAd_txfDeletePhoto1th3.0,delete the first photo cover of no photo on past ad page,xpath,"//div[@class='photo-container-mobile']//div[@class='swiper-wrapper']/div[1]//div[@class='icon-delete-image-mobile']"
All,portrait,TextField,postAd_txfCoverNoPhoto2th3.0,the second photo cover of no photo on past ad page,xpath,"//div[@class='photo-container-mobile']//div[@class='swiper-wrapper']/div[2]"
All,All,Label,postAd_lblPhotoValidTrue3.0,the photo status checked on post ad page,xpath,"//div[@class='photo-label']//div[@class='icon-valid-true']"
All,All,Label,postAd_lblPhotoValidFalse3.0,the photo status checked on post ad page,xpath,"//div[@class='photo-label']//div[@class='icon-valid-false']"
All,All,Label,postAd_lblPhotoOptional3.0,the photo photo optional,xpath,"//div[@class='photo-label']//span[@class='optional']"
All,All,Label,postAd_lblPhotoRequired3.0,the photo photo required,xpath,"//div[@class='photo-label']//span[@class='required']"
All,All,Label,postAd_lblPhotoNotice3.0,the photo notice on post ad page,xpath,"//div[@class='photo-label']//div[@class='notice']"
All,All,TextField,postAd_txfDescriptionLabel3.0,the Description label,xpath,"//div[@class='description-label']/div[@class='label']"
All,All,TextField,postAd_txfDescriptionO3.0,the Description optional,xpath,"//div[@class='description-label']//span[@class='optional']"
All,All,TextField,postAd_txfDescriptionRequired3.0,the Description required,xpath,"//div[@class='description-label']//span[@class='required']"
