Site,Platform,ElementType,Label,Description,ByType,By
All,All,TextField,regist_txfInputEmail,the input field to type email,xpath,"//input[@name='email']"
All,All,CheckBox,regist_chbTerms,the agree terms before user register,xpath,"//label[@class='paragraph']"
mx_vns,All,Button,regist_btnContinue,the button to go to next step after type email,xpath,"//span[contains(text(),'Continúa')]"
All,All,Link,regist_lnkSignIn,the link go to sip from register,xpath,"//a[contains(text(),'¡Entra í!')]"
All,All,TextField,regist_txfCheckEmailMsg,the check email message,xpath,"//div[@class='confirm-message']/h1"
All,All,TextField,regist_txfSendEmailMsg,the send email message,xpath,"//div[@class='confirm-message']/p"
All,All,TextField,rcp_txfName,the name on user confirm page,xpath,"//input[@name='userName']"
All,All,TextField,rcp_txfPwd,the password on user confirm page,xpath,"//input[@name='password']"
All,All,TextField,rcp_txfConfirmPwd,the confirm password on user confirm page,xpath,"//input[@name='confirmpassword']"
mx_vns,All,Button,rcp_btnReady,the ready button on register confirm page,xpath,"//button[contains(text(),'¡Listo!')]"
za,All,Button,regist_btnContinue,the button to go to next step after type email,xpath,"//span[contains(text(),'Register')]"
za,All,Button,rcp_btnReady,the ready button on register confirm page,xpath,"//button[contains(text(),'Submit')]"
All,All,Link,register_lnkLegalTerms,the register link of terms and conditions,xpath,"//div[@class='terms-and-conditions-copy']/span/a[1]"
All,All,Link,register_lnkLegalPrivacy,the register link of privacy,xpath,"//div[@class='terms-and-conditions-copy']/span/a[2]"
All,All,Link,register_lnkLegalCookies,the register link of cookies,xpath,"//div[@class='terms-and-conditions-copy']/span/a[3]"
All,All,Link,register_lnkAlreadyHaveAccount,the link that user already has an account,xpath,"//div[@class='toggle-section-link']//a"
All,All,TextField,register_txfOverlayRegister,form for register,xpath,"//section[@class='full-page-modal-wrapper login-full-page-modal register-mode']"
All,All,TextField,register_txfOverlayRegisterEmail,textfield email on form for register,xpath,"//div[contains(@class,'register-email-field input-wrapper')]//input[contains(@class,'input-main')]"
All,All,Label,register_lblOverlayRegisterEmailTitle,the email title on register overlay,xpath,"//div[contains(@class,'register-email-field')]/span"
All,All,Label,register_lblOverlayRegisterEmailMdtTitle,the title mandatory label on register overlay,xpath,"//div[contains(@class,'register-email-field')]//span[@class='input-mandatory-label']"
All,All,Label,register_lblOverlayRegisterEmailValidTrue,the email valid true label on register overlay,xpath,"//div[contains(@class,'register-email-field')]//span[contains(@class,'icon-valid-true')]"
All,All,Label,register_lblOverlayRegisterEmailValidFalse,the email valid false label on register overlay,xpath,"//div[contains(@class,'register-email-field')]//span[contains(@class,'icon-valid-false')]"
