Site,Platform,ElementType,Label,Description,ByType,By
All,All,Label,srp_lblSEODescription,the seo description,xpath,"//meta[@name='description']"
All,All,TextField,srp_txfLocationInput,the input of location,xpath,"//input[@id='modal-location']"
All,All,TextField,srp_txfSearchInputNew,the textfield of search box on new SRP,xpath,"//div[@class='search-textbox-container']/input"
All,All,Label,srp_lblLocationText,the location text on search box,xpath,//div[@class='location']//input[@type='text']
All,All,Label,srp_lblLocationTextNew,the location text on search box on new srp,xpath,"//span[@class='location-text']"
All,All,Link,srp_lnkFirstAdNew,link of first ad in the result list on new srp page,xpath,"//div[@id='tileRedesign']/div/div[1]"
All,All,Link,srp_lnk5thAd,link of fifth ad in the result list on new srp page,xpath,"//div[@id='tileRedesign']//div[contains(@class,'tileV2')][5]"
All,All,Link,srp_lnk7thAd,link of fifth ad in the result list on new srp page,xpath,"//div[@id='tileRedesign']//div[contains(@class,'tileV2')][7]"
All,All,Link,srp_lnk11thAd,link of eleventh ad in the result list on new srp page,xpath,"//div[@id='tileRedesign']//div[contains(@class,'tileV2')][11]"
All,All,Link,srp_lnk9thAd,link of ninth ad in the result list on new srp page,xpath,"//div[@id='tileRedesign']//div[contains(@class,'tileV2')][9]"
All,All,Link,srp_lnk13thAd,link of thirteenth ad in the result list on new srp page,xpath,"//div[@id='tileRedesign']//div[contains(@class,'tileV2')][13]"
All,All,Link,srp_lnk17thAd,link of seventeenth ad in the result list on new srp page,xpath,"//div[@id='tileRedesign']//div[contains(@class,'tileV2')][17]"
All,All,Link,srp_lnk19thAd,link of nineteenth ad in the result list on new srp page,xpath,"//div[@id='tileRedesign']//div[contains(@class,'tileV2')][19]"
All,All,Link,srp_lnk21thAd,link of 21th ad in the result list on new srp page,xpath,"//div[@id='tileRedesign']//div[contains(@class,'tileV2')][21]"
All,All,Button,srp_btnSearchButton,the search button on search box on SRP,xpath,//section[@role='search']//div[@class='button']
All,All,Button,srp_btnSearchButtonNew,the new search button on search box on SRP,xpath,"//button[@class='search-button']"
All,All,TextField,srp_txfSRPTotalAdNew,the search total ad on SRP,xpath,"//*[@class='cat' or @class='title-count']/span[@class='numb' or @class='bold']"
