Site,Platform,ElementType,Label,Description,ByType,By
All,All,TextField,tns_txfLoginName,text field to type user name on login page,xpath,//input[@name='username']
All,All,TextField,tns_txfLoginPassword,text field to type password on login page,xpath,//input[@name='password']
All,All,Button,tns_btnLogin,login button on login page,xpath,//input[@value='Login']
All,All,Button,tns_btnLogout,logout button on cs tool index page,xpath,//a[@id='logout']
All,All,Button,tns_btnLogoutNew,logout button on cs tool index page on new TNS page,xpath,"//button[@ng-click='logout()']"
All,All,Label,tns_lblCSToolTitle, the title of BOLT cs tool after login successfully,xpath,"//span[@class='md-subhead']"
All,All,Button,tns_btnGotoNewVersion,button to switch to new tns version,id,"newVersion"
All,All,Label,tns_lblAdManagement,the label of ad management on TNS index page,xpath,"//div[@id='moderationTools']//span[@class='md-title']"
All,All,Label,tns_lblAdManagementNew,the label of ad management on new TNS index page,xpath,"//div[@id='moderationTools']//span[contains(text(),'Ad Management')]"
All,All,Label,tns_lblCustomReports,the label of custom reports on TNS index page,xpath,"//div[@id='reportingConfiguration']//span[@class='md-title' and contains(text(),'Custom')]"
All,All,TextField,tns_txfSearchEmail, text field of search ad by user email,xpath,"//input[@placeholder='email']"
All,All,TextField,tns_txfSearchAdIdOld, text field of search ad by ad id,xpath,"//input[@placeholder='adid']"
All,All,TextField,tns_txfSearchAdId, text field of search ad by ad id,xpath,"//input[@placeholder='adId']"
All,All,TextField,tns_txfSearchKeywords, text field of search ad by keywords,xpath,"//input[@placeholder='keywords']"
All,All,Label,tns_lblResultAdStatusOld,the ad status of the first search result,xpath,"//dd[@data-field-name='adStatus']"
All,All,Label,tns_lblFirstResultAdStatus,the ad status of the first search result,xpath,"//div[@id='virtualRepeatArea']/div[@layout='column'][1]//span[contains(@ng-class,'adStateDisplay')]"
All,All,Label,tns_lblFirstResultAdEmail,the ad email of the first search result,xpath,"//div[@id='virtualRepeatArea']/div[@layout='column'][1]//span[contains(@ng-click,'email: ad.email')]"
All,All,Label,tns_lblFirstResultAdTitle,the ad title of the first search result,xpath,"//div[@id='virtualRepeatArea']/div[@layout='column'][1]//p[@class='titleDisplay']/a"
All,All,Label,tns_imgFirstResultAdImage,the ad image of the first search result,xpath,"//div[@id='virtualRepeatArea']/div[@layout='column'][1]//div[@ng-show='images.length > 0']"
All,All,Label,tns_imgFirstResultAdLocation,the ad location of the first search result,xpath,"//div[@id='virtualRepeatArea']/div[@layout='column'][1]//td[text()='Location: ']/../td[2]"
All,All,Button,tns_btnAdManagementSearch,the search button on ad management page,xpath,"//button[@class='md-raised md-primary md-button md-ink-ripple']"
All,All,Label,tns_ddAdManagementLanguageOld,language dropdown list on ad management page,xpath,"//select[@id='locale-input']"
All,All,Label,tns_ddAdManagementLanguage,language dropdown list on ad management page,xpath,"//b[text()='Language:']/../..//md-select[@ng-model='searchCriteria.viewModel.country']/md-select-value"
All,All,TextField,tns_txfAdTitle,ad title on ad management page,xpath,"//p[@class='titleDisplay']/a"
All,All,Button,tns_btnSaveSearch,button to save search on ad management page,xpath,"//button[contains(@ng-click,'saveSearch.saveSearch')]"
All,All,CheckBox,tns_chxBulkSelect,all bulk select of search result on ad management page,xpath,"//md-content[@layout='column']//md-checkbox[contains(@ng-model,'bulkSelected')]"
All,All,CheckBox,tns_chxSelectAll,select all of search result on ad management page,xpath,"//md-checkbox[@aria-label='bulkSelectAll']"
All,All,CheckBox,tns_chxSelectAllm,select all of search result on ad management page by m,xpath,"//md-checkbox[@aria-label='bulkSelectAll']"
All,All,Label,tns_lblDeleteReason,delete reason on ad management page,xpath,"//md-select[@ng-model='bulkDeleteReason']"
All,All,Label,tns_lblDeleteNoEmail,delete with no email on ad management page,xpath,"//div[@class='md-select-menu-container md-active md-clickable']//md-option[@value='NO_EMAIL']"
All,All,Button,tns_btnSaveAction,save button on pop up dialog on ad management page,id,"//md-dialog[@role='dialog']//button[contains(@ng-click,'save')]"
All,All,Button,tns_btnCancelAction,save button on pop up dialog on ad management page,id,"//md-dialog[@role='dialog']//button[@ng-click='cancel()']"
All,All,Button,tns_btnConfirmBulkDelete,confirm bulk delete on ad management page,xpath,"//md-dialog[contains(@class,'actions-dialog')]//span[text()='Delete ad(s)']"
All,All,TextField,tns_txfSaveSearchName,the name of the save search key word,xpath,"//md-input-container/input[@ng-keypress='dialog.keypress($event)']"
All,All,Button,tns_btnSavedResult,the name of save search result,xpath,"//md-select[@ng-model='saveSearch.viewModel.savedSearch']"
All,All,Button,tns_btnSaveConfirm,click to save search,xpath,"//button[@class='md-primary md-confirm-button md-button md-ink-ripple md-default-theme']"
All,All,Label,tns_lblSavedOption,click to show result,xpath,"//md-option[@value='Ted001']"
All,All,Label,tns_lblSearchResult,result of search,xpath,"//*[@id='adDetailsMdContent']/div/div[1]/div[1]/span"
All,All,Label,tns_lblResultCount,to select page display ad count,xpath,"//md-select-value[@id='select_value_label_52']"
All,All,Label,tns_lblResultCount50,to select page display 50 ad each page,xpath,"//md-option[contains(@ng-repeat,'resultsCount') and @value='50']"
All,All,Button,tns_btnGoToPage2,button to go to page 2,xpath,"//button[@aria-label='Go to page 2']"
All,All,Button,tns_btnBulkActivate,button to active ad,xpath,"//button[contains(@class,'bulk-activation-link')]/span"
All,All,Button,tns_btnSearch,search button,xpath,"//button[contains(@class,'md-raised md-primary md-button md-ink-ripple')]"
All,All,Button,tns_btnAdActions,show all ad actions,xpath,"//span[contains(text(),'Ad Actions')]"
All,All,Button,tns_btnFeatureTopAd7,the feature of topAd-7,xpath,"//button[contains(@class,'topad7')]"
All,All,Button,tns_btnFeatureHPG7,the feature of hpgallery7,xpath,"//button[contains(@class,'hpgallery7')]"
All,All,Button,tns_btnFeatureHighLight7,the feature of highlight7,xpath,"//button[contains(@class,'highlight7')]"
All,All,Button,tns_btnFeatureUrgent7,the feature of urgent7,xpath,"//button[contains(@class,'urgent7')]"
All,All,Label,tns_lblReplyLink,the link to the reply page,xpath,"//a[contains(@ng-href,'/tns/replies.html?adId')]"
All,All,Button,tns_btnBlockIP,the button to block the ip,xpath,"//button[contains(@class,'blockip')]"
All,All,Button,tns_btnUnBlockIP,the button to unblock the ip,xpath,"//button[contains(@class,'unblockip')]"
All,All,Button,tns_btnChangeCategory,the button to change ad category,xpath,"//ng-md-icon[contains(@ng-click,'showChangeCategoryDialog')]"
All,All,Label,tns_lblCategoryLevel1,the list of level one category,xpath,"//md-select[@ng-model='categoryL1']"
All,All,Label,tns_lblOptionHogarL1,the L1 category option with name hogar,xpath,"//md-option[@ng-repeat='category in categoryL1List']//div[contains(text(),'Hogar')]"
All,All,Label,tns_lblOptionModaL1,the L1 category option with name hogar,xpath,"//md-option[@ng-repeat='category in categoryL1List']//div[contains(text(),'Moda')]"
All,All,Label,tns_lblCategoryLevel2,the list of level two category,xpath,"//md-select[@ng-model='categoryL2']"
All,All,Label,tns_lblOptionElectroL2,the L1 category option with name hogar,xpath,"//md-option[@ng-repeat='category in categoryL2List']//div[contains(text(),'Electrodomésticos')]"
All,All,Button,tns_btnSaveChange,the button to save the category change,xpath,"//button[@ng-click='save()']"
All,All,Button,tns_btnReviewAd,the button to review the ad,xpath,"//button[@ng-click='bulkReviewAdById()']"
All,All,Label,tns_lblSecondResultAdStatus,the status of second ad,xpath,"//div[@id='virtualRepeatArea']/div[2]//span[@ng-class='colorAdState(adStateDisplay)']"
All,All,Label,tns_lblFirstResultAdCategory,the category detail of first result ad,xpath,"//div[@id='virtualRepeatArea']/div[1]/div[1]/tns-ad-management-overview/div/div[2]/tns-ad-management-details/md-content/div/md-table-container/table[1]/tbody/tr[4]/td[2]"
