Site,Platform,ElementType,Label,Description,ByType,By
mx_vns,All,TextField,mHP_popuCateTitle,the xpath for popular category title,xpath,"//div[@class='featured-categories-title']"
All,All,TextField,mHP_firstPopuCate,the xpath for first popular category,xpath,"//div[@class='featured-categories-wrapper']//li[1]//div[@class='featured-categories-classfication']/h2[contains(text(),'Inmuebles en Venta')]"
All,All,TextField,mHP_secPopuCate,the xpath for first popular category,xpath,"//div[@class='featured-categories-wrapper']//li[2]//div[@class='featured-categories-classfication']/h2[contains(text(),'Inmuebles en Renta')]"
All,All,TextField,mHP_thirdPopuCate,the xpath for first popular category,xpath,"//div[@class='featured-categories-wrapper']//li[3]//div[@class='featured-categories-classfication']/h2[contains(text(),'Desarrollos Inmobiliarios')]"
All,All,TextField,mHP_fourthPopuCate,the xpath for first popular category,xpath,"//div[@class='featured-categories-wrapper']//li[4]//div[@class='featured-categories-classfication']/h2[contains(text(),'Propiedades Comerciales')]"
All,All,TextField,mHP_fifthPopuCate,the xpath for first popular category,xpath,"//div[@class='featured-categories-wrapper']//li[5]//div[@class='featured-categories-classfication']/h2[contains(text(),'Terrenos en Venta')]"
All,All,TextField,mHP_sixthPopuCate,the xpath for first popular category,xpath,"//div[@class='featured-categories-wrapper']//li[6]//div[@class='featured-categories-classfication']/h2[contains(text(),'Cuartos en Renta')]"
All,All,TextField,mHP_heroBannerImage,the xpath for hero banner image,xpath,"//div[@class='hero-banner']/div/picture/img"
All,All,TextField,mHP_firstPopuCateImage,the xpath for first popular category image,xpath,"//div[@class='featured-categories-wrapper']//li[1]//img"
All,All,TextField,mHP_secPopuCateImage,the xpath for first popular category image,xpath,"//div[@class='featured-categories-wrapper']//li[2]//img"
All,All,TextField,mHP_thirdPopuCateImage,the xpath for first popular category image,xpath,"//div[@class='featured-categories-wrapper']//li[3]//img"
All,All,TextField,mHP_fourthPopuCateImage,the xpath for first popular category image,xpath,"//div[@class='featured-categories-wrapper']//li[4]//img"
All,All,TextField,mHP_fifthPopuCateImage,the xpath for first popular category image,xpath,"//div[@class='featured-categories-wrapper']//li[5]//img"
All,All,TextField,mHP_sixthPopuCateImage,the xpath for first popular category image,xpath,"//div[@class='featured-categories-wrapper']//li[6]//img"
