Site,Platform,ElementType,Label,Description,ByType,By
za,All,Panel,header_pnlLiquidCategoryBar,the container of categories,xpath,"//ul[@class='category-bar']"
za,All,Panel,header_pnlCategoryLists,the list of categories,xpath,"//ul[@class='category-bar']/li[contains(@class, 'category-top')]"
za,All,Link,header_lnkCategoryBarCars,the link of the first category item,xpath,"//ul[@class='category-bar']/li[@class='Cars category-top']/a"
za,All,TextField,header_lnkCategoryBarCarsText,the text of the first category item,xpath,"//ul[@class='category-bar']/li[@class='Cars category-top']/a/span[@class='full-name']"
za,All,TextField,header_lnkCategoryBarCarsTextMobile,the text of the first category item,xpath,"//ul[@class='category-bar']/li[@class='Cars category-top']/a/span[@class='short-name']"
za,All,Button,header_btnMoreCategories,the button to show more category items,xpath,"//ul[@class='category-bar']/li[@class='more category-top']"
za,All,DropDown,header_ddCategoryList,dropdown of category lists,xpath,"//ul[@class='category-bar']/li[@class='more category-top']/ul[@class='more-category-list active']"
za,All,Panel,header_pnlCategoryDropdown,the list of categories,xpath,"//ul[@class='category-bar']/li[@class='more category-top']/ul[contains(@class,'more-category-list')]/li[contains(@class, 'category-more')]"
za,All,TextField,header_lnkCategoryEventsText,the text of a specific item,xpath,"//ul[@class='category-bar']/li[@class='more category-top']/ul[@class='more-category-list active']/li[@class='Events-more category-more']/a/span[@class='full-name']"
za,All,Link,header_lnkCategoryEvents,the Link of dropdown,xpath,"//ul[@class='category-bar']/li[@class='more category-top']/ul[@class='more-category-list active']/li[@class='Events-more category-more']/a"
za,All,Panel,header_pnlCategoryPopup,the panel of category popup,xpath,"//div[contains(@class, 'categoryLiquid')]"
za,All,Label,header_lblCategoryPopupTitle,the title of the category popup,xpath,"//div[@class='categoryLiquid show-as-modal']/div[@class='txt-header-bar']/span[@class='bar-title']"
za,All,Button,header_btnCloseCategoryPopup,the close button of the category popup,xpath,"//div[@class='categoryLiquid show-as-modal']/div[@class='txt-header-bar']/span[@class='bar-act']"
za,All,Link,header_lnkCategoryPopupAllCategory,link to all category SRP  inside category popup,xpath,"//div[@class='categoryLiquid show-as-modal']//ul[@class='more-category-list']/li[@class='All-more category-more']/a"
za,All,Link,header_lnkCategoryPopupToggleL2OfAutomotive,link to toggle category L2 list of Automotive Vehicles inside category popup,xpath,"//div[@class='categoryLiquid show-as-modal']//ul[@class='more-category-list']/li[contains(@class, 'Automotive-more category-more')]/a"
za,All,Link,header_lnkCategoryPopupL1Automotive,L1 category link of Automotive Vehicles inside category popup,xpath,"//div[@class='categoryLiquid show-as-modal']//ul[@class='more-category-list']/li[@class='Automotive-more category-more expand']/ul[@class='sub-category-list']/li[@class='Automotive-sub category-sub']"
za,All,Panel,header_pnlCategoryPopupL2OfAutomotive,list of L2 category link of Automotive Vehicles inside category popup,xpath,"//div[@class='categoryLiquid show-as-modal']//ul[@class='more-category-list']/li[@class='Automotive-more category-more expand']/ul[@class='sub-category-list']"
za,All,Link,header_lnkCategoryPopupL2CarBakkies,L2 category link of Cars & Bakkies inside category popup,xpath,"//div[@class='categoryLiquid show-as-modal']//ul[@class='more-category-list']/li[@class='Automotive-more category-more expand']/ul[@class='sub-category-list']/li[@class='Cars-sub category-sub']"
